Time	WaterLevel_cm
2012052511	18.658600
2012052512	18.517800
2012052513	18.377000
2012052514	18.236200
2012052515	18.095400
2012052516	17.954500
2012052517	17.813700
2012052518	17.672900
2012052519	17.532100
2012052520	17.391300
2012052521	17.320900
2012052522	17.320900
2012052523	17.250500
2012052600	17.250500
2012052601	17.180000
2012052602	17.039200
2012052603	16.968800
2012052604	16.898400
2012052605	16.828000
2012052606	16.757600
2012052607	16.687200
2012052608	16.616800
2012052609	16.616800
2012052610	16.546300
2012052611	16.405500
2012052612	16.335100
2012052613	16.194300
2012052614	15.983100
2012052615	15.912700
2012052616	15.701400
2012052617	15.631000
2012052618	15.490200
2012052619	15.490200
2012052620	15.490200
2012052621	15.419800
2012052622	15.349400
2012052623	15.279000
2012052700	15.208600
2012052701	15.138200
2012052702	14.997300
2012052703	14.926900
2012052704	14.856500
2012052705	14.786100
2012052706	14.645300
2012052707	14.645300
2012052708	14.504500
2012052709	14.434000
2012052710	14.363600
2012052711	14.222800
2012052712	14.152400
2012052713	14.011600
2012052714	13.941200
2012052715	13.800400
2012052716	13.729900
2012052717	13.659500
2012052718	13.518700
2012052719	13.448300
2012052720	13.377900
2012052721	13.307500
2012052722	13.237100
2012052723	13.166700
2012052800	13.025900
2012052801	12.955400
2012052802	12.885000
2012052803	12.814600
2012052804	12.744200
2012052805	12.673800
2012052806	12.533000
2012052807	12.462600
2012052808	12.321700
2012052809	12.251300
2012052810	12.110500
2012052811	12.040100
2012052812	11.899300
2012052813	11.758500
2012052814	11.617700
2012052815	11.476800
2012052816	11.336000
2012052817	11.195200
2012052818	11.124800
2012052819	10.984000
2012052820	10.913600
2012052821	10.772700
2012052822	10.702300
2012052823	10.561500
2012052900	10.491100
2012052901	10.350300
2012052902	10.279900
2012052903	10.139000
2012052904	10.068600
2012052905	9.998220
2012052906	9.857400
2012052907	9.786990
2012052908	9.716580
2012052909	9.575760
2012052910	9.434940
2012052911	9.294120
2012052912	9.223710
2012052913	9.082890
2012052914	8.942070
2012052915	8.801250
2012052916	8.660430
2012052917	8.519610
2012052918	8.378790
2012052919	8.237970
2012052920	8.167560
2012052921	8.026740
2012052922	7.885920
2012052923	7.815510
2012053000	7.674690
2012053001	7.604280
2012053002	7.463460
2012053003	7.393050
2012053004	7.322640
2012053005	7.181820
2012053006	7.111410
2012053007	6.970590
2012053008	6.900180
2012053009	6.759360
2012053010	6.618540
2012053011	6.477720
2012053012	6.336900
2012053013	6.266490
2012053014	6.055260
2012053015	5.914440
2012053016	5.773620
2012053017	5.632800
2012053018	5.562390
2012053019	5.351160
2012053020	5.210340
2012053021	5.069520
2012053022	4.999110
2012053023	4.858290
2012053100	4.787880
2012053101	4.647060
2012053102	4.576650
2012053103	4.506240
2012053104	4.365420
2012053105	4.295010
2012053106	4.154190
2012053107	4.083780
2012053108	3.942960
2012053109	3.872550
2012053110	3.731730
2012053111	3.661320
2012053112	3.520500
2012053113	3.309270
2012053114	3.168450
2012053115	3.027630
2012053116	2.816400
2012053117	2.675580
2012053118	2.534760
2012053119	2.393940
2012053120	2.253120
2012053121	2.112300
2012053122	2.041890
2012053123	1.901070
2012060100	1.830660
2012060101	1.760250
2012060102	1.619430
2012060103	1.549020
2012060104	1.478610
2012060105	1.408200
2012060106	1.337790
2012060107	1.267380
2012060108	1.196970
2012060109	1.126560
2012060110	1.056150
2012060111	0.985740
2012060112	0.774510
2012060113	0.633690
2012060114	0.422460
2012060115	0.281640
2012060116	0.070410
2012060117	-0.070410
